S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
403.826938776,402.826938776,391.5110204081630,134.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,394.3556462589930,375.2236734693880,362.75074829932000
404.36244898,403.36244898,392.03619047659900,135.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,394.8443537419050,375.7254421772790,363.2525170072110
404.643265306,403.643265306,392.3170068025990,135.13,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,395.1251700679050,376.0062585032790,363.5333333332110
406.460952381,405.460952381,394.04108843542200,136.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,396.9194557823610,377.70693877555800,365.23401360549000
406.694603175,405.694603175,394.2513378688780,136.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,397.15310657636000,377.8937868484690,365.42086167840100
406.979047619,405.979047619,394.5357823128780,136.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,397.4375510203610,378.17823129246900,365.7053061224010
408.015238095,407.015238095,395.5485714283330,136.75,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,398.4737414963610,379.1910204079250,366.7180952378570
408.563809524,407.563809524,396.05034013624500,137.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,398.9755102042720,379.716190476381,367.2198639457690
408.838095238,407.838095238,396.32462585024500,137.13,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,399.2497959182720,379.9436734692930,367.4941496597690
411.448888889,410.448888889,398.8184126985240,138.38,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,401.81378684818400,382.390657596483,369.9645351475030
412.215873016,411.215873016,399.53859410443500,138.75,,0.0,0.0,,,,,,,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,402.5807709751840,383.1342403629390,370.6613151928710
413.043809524,412.043809524,400.3431292518910,139.13,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,403.38530612263900,383.9289795918370,371.4190476192380
413.328253968,412.328253968,400.6275736958910,139.25,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,403.6697505666400,384.15301587276200,371.7034920632380
414.354285714,413.354285714,401.60680272080300,139.75,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,404.67238095209500,385.13224489767400,372.7061224486940
