C5,mm,mm_original,RehNo,Structure,Theme,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass
234.098,105,155.00,18.00,,,,,,,,,,,,,,,,,1,,1,,1,,0,,0,,,,,,,,,
237.078,106.5,156.50,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,
239.984,108,158.00,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
240.286,108.125,158.13,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
240.5386667,108.25,158.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.51,108.75,158.75,,,e,,0,0,,,0,0,1,1,1,1,1,1,0,0,0,,,,,,0,,,,,,,,,,
242.074,109,159.00,,Coda,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,
244.114,110,160.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244.64,110.25,160.25,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245.074,110.5,160.50,,,,,1,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,
245.6,110.75,160.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.052,111,161.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246.968,111.5,161.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247.882,112,162.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249.413,112.625,162.63,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
