S_1,RehNo,Structure,Theme,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,C1_Sae1,C1_Sae2,RD_Sae1,RD_Sae2,RR_Saev
377.655873,,,,122.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.655873,366.2422675578230,368.51219953061200,350.39954646938800,337.8798185782310
378.2146032,,T1,b,122.75,,,,0.0,0.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.0,,,,,,,,,377.2146032,366.7775963972790,369.07092973061200,350.8880725877550,338.4385487782310
378.8146939,14.0,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.8146939,367.35428573673500,369.67102043061200,351.48816328775500,338.9281632653060
379.0933333,,,,123.13,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,378.0933333,367.60952377619000,369.90285710952400,351.76680268775500,339.20027207551000
381.1744218,,,,124.13,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,380.1744218,369.59700683401400,371.98394560952400,353.7074830244900,341.1877551333330
382.5110204,,,,124.75,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,381.5110204,370.93360543401400,373.32054420952400,354.9270748217690,342.47755101224500
383.3991837,,,,125.13,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,382.3991837,371.7515646523810,374.2087075095240,355.8152381217690,343.272108870068
385.2190476,,,,126.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,384.2190476,373.52462583129300,375.95836732789100,357.56489794013600,345.0685714095240
385.4755556,,,,126.13,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,384.4755556,373.73433111020400,376.2148753278910,357.8214059401360,345.2080726068030
386.8364626,,,e,126.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.8364626,375.0952381102040,377.57578232789100,359.18231294013600,346.5689796068030
392.6857143,,,,129.5,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.6857143,380.82748300748300,383.3782313068030,364.7507483136050,352.2544217829930
394.1460317,,,,130.13,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,393.1460317,382.21759632585000,384.7683446251700,366.1876643530610,353.64453510136100
395.3959184,,T2,f,130.75,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,394.3959184,383.42068030476200,385.99482996462600,367.29061224489800,354.7774149986400
395.9379592,15.0,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9379592,383.96272110476200,386.5368707646260,367.81578232925200,355.3194557986400
398.2603175,,,,132.13,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,397.2603175,386.23827668367300,388.8592290646260,369.9977324659860,357.5248072959180
