,AU807,AU805,AU802,AU806,AU812,AU803,AU808,AU813,AU814,AU811,AU804,AU810,AU809,AU801,AU815
-10.52,486.8632538461526,529.682864102566,562.0,509.0,539.6854820512782,492.0,506.0,507.0,493.0734923076925,549.0,483.7119717948706,505.9709461538441,501.0,431.08546410256633,582.1110333333417
-10.48,487.0,522.5033769230783,562.0,509.0,542.1051461538412,492.0,506.83209226932644,507.0,492.011105128205,549.0,484.0,506.0,501.0,431.0,569.1024923077208
-10.440000000000001,487.0,515.4204769230922,560.9829000000001,508.54443846154066,544.3940230769217,492.0,506.1470025641048,506.2341820512833,491.0,549.0,484.0,506.0,501.0,431.0,556.7948000000247
-10.4,487.0,509.3888589743701,559.9572589743589,508.0,545.0,492.0,506.8786384615361,505.22832750000043,490.9598230769251,548.5982846153869,484.76917249999804,507.0,501.5017153846143,431.99145897435756,544.8631820513008
-10.36,487.9658179487181,504.260653846163,558.8632358974405,508.0,545.0,492.41966410256407,506.0957205128225,503.4170820512819,489.93418205128376,547.5726435897456,485.0,507.04786923076915,502.0,432.0,533.9828461538594
-10.32,488.0,499.3059589743649,556.811953846158,508.0,544.5290538461542,492.5546948717959,506.92992051281885,501.365800000004,489.0,546.5470025641042,485.814535897434,508.07351025641026,502.0,432.0170999999998,524.1636291560168
-10.280000000000001,489.0,495.40254615384976,554.8803358974376,508.0,543.5034128205128,492.0,507.0,499.3145179487224,488.88290000000103,545.5213615384629,486.8401769230753,509.1983025640978,502.0,433.0,515.3965333333341
-10.24,489.0,492.5504153846171,553.7093897435923,508.0,543.0,492.0,507.0,497.2632358974397,487.85762404092134,544.4957205128214,487.0,511.1247923076903,502.0,433.1367641025592,507.6674794871874
-10.2,489.06838205128054,490.24870000000146,551.6581076923096,507.39059230769243,541.9042615384659,492.0,508.00684358974297,495.21195384615686,487.0,542.4102384615403,488.7783580562654,512.3008666666633,502.0,435.28206923076294,500.4879923077084
-10.16,490.0,487.17177692307746,549.606825641027,507.6350487179471,541.0,492.0,509.06496923076867,493.1606717948741,487.0,539.3333153846162,489.914535897436,514.352148717946,502.0,438.35899230768695,494.3632179487278
-10.120000000000001,490.0,484.3981125319704,547.5555435897443,507.3558275000019,540.4008487179503,492.0,511.11625128205094,492.05469487179573,486.78290000000203,536.2563923076922,490.9401769230746,516.6051461538431,502.6616724999994,441.7265256410183,489.30413750000645
-10.08,490.1416724999992,482.0256230769284,545.5166550000012,507.0,538.7504153846178,492.0,513.1675333333283,491.0315370843989,486.0,532.5726256410312,492.9316358974316,519.6820692307672,503.0,446.8547307692254,484.7880102564129
-10.04,491.0,479.29913333333616,543.5042615384655,507.0,536.7316550000008,492.0,515.2188153846109,490.00597692307934,485.7316179487192,527.8375769230878,495.97437692307153,522.7589923076914,503.0,452.1795230769186,481.26408461538557
-10.0,491.0,477.62392564102674,541.7264897435914,507.0,533.3982666666664,492.0,517.2700974358936,490.0,485.0,523.4333100000057,498.05129999999554,525.8359153846153,503.0,458.5555974358943,477.58906393862446
-9.96,491.19658717948533,476.60832750000054,540.4016974359,507.0,529.2957025641089,492.0,519.4820692307644,490.0,484.70597692307695,518.7093717948766,501.1709641025596,528.9128384615366,503.0,465.7350846153835,474.74528717949113
-9.92,492.0,476.0,538.6760383631721,507.0,525.193138461547,492.0,522.5589923076886,490.0709461538447,484.0,514.2649333333358,505.2051461538437,531.9897615384548,503.78120256410085,472.91457179486787,472.6940051282084
-9.879999999999999,492.2478692307681,476.0,537.3042615384614,507.0,521.8179307692362,492.6991512820507,525.4133449999986,491.0965871794861,484.0,510.1623692307702,508.3760923076905,535.0400174999951,503.19315641025776,480.09405897434266,471.32136153846284
-9.84,493.0,475.5470025641047,535.6264897435905,507.0,517.9880102564163,493.0,527.6359153846138,492.2444564102548,483.6290538461558,506.7948538461535,512.4786564102557,538.4222461538421,503.0,486.9487538461416,469.59144102564284
-9.8,493.0,474.5213615384633,534.600848717951,507.0,514.6640846153883,493.0,530.7128384615307,494.14417249999923,483.0,503.7179307692362,516.7083624999992,542.9060128205095,503.85812564102497,493.10259999998993,468.2700794871801
-9.76,493.0,474.0,533.5752076923096,506.13418205128374,511.58716153846404,493.7760743589725,533.5265076923033,495.4436076923004,483.0,501.43136061381404,521.5812205128134,548.0342179487166,504.0,499.20003499999365,467.2444384615387
