,Time_1,HR1bt,Resp_wave,Jerk,HR10bt,HR30bt,Resp_BPM,sResp_BPM,ACCVert,ACCLat,ACCLong
436.502,449.18553741496606,60.12945514083379,467.8840512820797,11.622604136608155,62.27932389694549,59.96602354971668,5.001667222407809,16.666123504606137,-910.4354999990534,-59.0,225.47800000034425
436.542,449.2255374149659,60.11290947099607,468.9096923077076,10.800250225049195,62.27036559579485,59.97429638463554,5.001667222407809,16.65721741731139,-912.0440000006957,-58.04400000069576,221.1635000006088
436.582,449.265537414966,60.09636380115833,469.0,9.343233303077945,62.261407294644194,59.98256921955441,5.001667222407809,16.648311330016632,-906.3779999999364,-63.58850000011141,226.0
436.622,449.305537414966,60.07981813132059,469.9584102564096,11.629111195312166,62.252448993493545,59.990842054473276,5.001667222407809,16.63940524272187,-908.1340000008281,-60.78350000020703,223.9175000010351
436.662,449.345537414966,60.063272461482875,470.984051282078,12.599864242461498,62.2434906923429,59.99911488939214,5.001667222407809,16.630499155427124,-904.3780000009027,-58.378000000902674,229.37800000090266
436.702,449.385537414966,60.04672679164513,471.00969230770266,11.964966115173194,62.23453239119225,60.00738772431101,5.001667222407809,16.621593068132366,-919.7164999997503,-70.0,234.0
436.742,449.42553741496596,60.03018112180739,472.0,10.826468814254266,62.2255740900416,60.01566055922988,5.001667222407809,16.61268698083761,-910.2439999997863,-64.62199999989313,220.62199999989315
436.782,449.465537414966,60.01363545196967,472.06097435899574,10.823976425860586,62.216615788890955,60.02393339414874,5.001667222407809,16.60378089354286,-905.0,-67.62199999961028,216.7835000002923
436.822,449.5055374149659,59.99708978213193,473.0,10.895677983404319,62.207657487740306,60.03220622906761,5.001667222407809,16.5948748062481,-909.0,-57.75600000214641,218.6219999989268
436.862,449.545537414966,59.98054411229419,473.0,11.442491889138072,62.19869918658965,60.04047906398648,5.001667222407809,16.585968718953342,-904.6219999994966,-54.621999999496595,222.0
436.902,449.5855374149659,59.96399844245647,473.1353333333265,12.41376844213429,62.18974088543901,60.04875189890534,5.001667222407809,16.577062631658595,-909.0,-52.60999999839247,224.7219999996785
436.942,449.62553741496595,59.947452772618725,474.0,12.341255979932185,62.18078258428836,60.05702473382421,5.001667222407809,16.568156544363834,-910.7219999994952,-57.27800000050477,218.0
436.982,449.66553741496597,59.930907102780985,474.1819500000068,12.106879051075568,62.1718242831377,60.065297568743084,5.001667222407809,16.559250457069076,-912.2780000004352,-62.72199999956481,225.27800000043518
437.022,449.705537414966,59.91436143294327,475.18661538463806,11.516946469960356,62.16286598198706,60.07357040366194,5.001667222407809,16.55034436977433,-913.2779999996521,-55.27799999965212,230.0
437.062,449.745537414966,59.89781576310553,476.212256410262,11.734477162936173,62.15390768083641,60.08184323858081,5.001667222407809,16.54143828247957,-916.4854999986469,-62.0,234.0
437.102,449.7855374149659,59.88127009326781,477.0,11.81517447111019,62.14494937968577,60.09011607349967,5.001667222407809,16.532532195184825,-911.2780000006185,-60.29149999953616,232.27800000061845
437.142,449.825537414966,59.86472442343007,477.2635384615551,12.520160607284232,62.13599107853512,60.09838890841854,5.001667222407809,16.523626107890063,-913.0,-58.3900000027444,223.92533333186967
437.182,449.865537414966,59.84817875359232,478.57687979540594,11.464520357975669,62.127032777384464,60.10666174333741,5.001667222407809,16.514720020595306,-907.4058536577231,-59.60146341443077,225.19804878075897
437.222,449.9055374149659,59.8316330837546,480.0,10.699454893573863,62.11807447623382,60.11493457825627,5.001667222407809,16.50581393330056,-897.711999998489,-47.47466666565935,214.76266666717032
